airline,cluster,pc1,pc2
AZTEC AIRWAYS,0,-0.36395974,0.042408854
AZUL,0,1.169973935,0.491520202
AZUL CONECTA,0,-0.521711566,-0.221462398
AZUR AIR,0,-0.365259263,0.112626942
AZURE AVIATION,0,-0.518452942,-0.200274492
BAA TRAINING,0,-0.441950936,-0.055550876
BABCOCK,0,-0.288842934,0.18047522
BADEN AIRCRAFT OPERATIONS,0,-0.521711566,-0.221462398
BADR AIRLINES,0,-0.446965403,-0.044215885
BAE SYSTEMS,0,-0.515194317,-0.179086586
BAHAMASAIR,0,-0.411677019,-0.000497061
BAHRAIN ROYAL FLIGHT,0,-0.457011977,-0.108947894
BAIRLINE,0,-0.515194317,-0.179086586
BAKER AVIATION,0,-0.319810391,0.08529501
BAMBOO AIRWAYS,0,5.732210318,-4.138954546
BANGKOK AIRWAYS,0,-0.309971671,0.101242024
BANKAIR,0,-0.378652905,-0.031240656
BAR XH AIR,0,-0.405617585,-0.082353306
BARTOLINI AIR,0,-0.334261932,0.191770632
BASSAKA AIR,0,-0.405617585,-0.082353306
BATIK AIR,0,0.72258323,-0.114480567
BBN AIRLINES,0,-0.440966721,-0.107145667
BBN AIRLINES INDONESIA,0,-0.508677067,-0.136710775
BEIJING AIRLINES,0,-0.441950936,-0.055550876
BEL AIR AVIATION,0,-0.362939101,-0.011680257
BELAVIA,0,2.193922828,-1.689193918
BELGIUM - AIR FORCE,0,-0.337272537,0.187339224
BELGIUM - NAVY,0,-0.366739125,-0.035204747
BELL HELICOPTER,0,-0.267362888,0.190509729
BELLAIR,0,-0.391500288,0.007071486
BEMIDJI AVIATION,0,-0.3128732,0.260316772
BENIN AIRLINES,0,-0.405617585,-0.082353306
BEOND,0,-0.518452942,-0.200274492
BERING AIR,0,-0.313331272,0.224311293
BERJAYA AIR,0,-0.518452942,-0.200274492
BERMUDAIR,0,-0.402088261,-0.059997108
BERNIQ AIRWAYS,0,-0.351637613,0.002625254
BERRY AVIATION,0,-0.339476054,0.093950341
BEST JETS INTERNATIONAL,0,-0.518452942,-0.200274492
BESTFLY ARUBA,0,-0.453234784,0.017545605
BH AIR,0,-0.293052929,0.034399587
BHUTAN AIRLINES,0,-0.405617585,-0.082353306
BIG BEND COMMUNITY COLLEGE AVIATION,0,-0.323785171,0.207631626
BIGHORN AIRWAYS,0,-0.380123048,0.180613966
BIMAN BANGLADESH AIRLINES,0,3.309011557,3.600916178
BINAIR,0,-0.347164546,-0.011046322
BINTER CANARIAS,0,0.516042073,0.258378637
BIOFLIGHT,0,-0.322707143,0.041309762
BIRDBASE AVIATION,0,-0.405617585,-0.082353306
BLESSINGS AVIATION CHARTER,0,-0.395029612,-0.015284712
BLUE DART AVIATION,0,-0.46533568,-0.101554068
BLUE ISLANDS,0,-0.378652905,-0.031240656
BLUE SQUARE AVIATION,0,-0.521711566,-0.221462398
BLUEBIRD AIRWAYS,0,-0.457011977,-0.108947894
BLUEBIRD AVIATION,0,-0.381742054,-0.01676679
BLUESKY AIRWAYS,0,-0.440966721,-0.107145667
BOEING,0,1.507593161,0.73942702
BOLIVIANA DE AVIACION,0,-0.381030367,0.214147418
BOOKAJET,0,-0.521711566,-0.221462398
BOUTIQUE AIR,0,-0.31665035,0.050214956
BRA,0,-0.331275108,0.0682574
BRASPRESS AIR CARGO,0,-0.405617585,-0.082353306
BRAVO AIRWAYS,0,-0.518452942,-0.200274492
BRAZIL - AIR FORCE,0,-0.142407348,1.096809515
BRAZIL - ARMY,0,-0.421994293,-0.066397362
BRAZIL - NAVY,0,-0.469798607,-0.089562216
BREEZE AIRWAYS,0,2.219319168,-0.060531923
BRIDGER AEROSPACE,0,-0.341913451,0.072048684
BRILLIANT JET,0,-0.521711566,-0.221462398
