airline,fleet_size,n_models,diversity,new_gen_share,indice_modernite_v0,indice_public,indice_penalise,n_a220,n_787,n_a350,n_a330neo,n_neo,n_max,pct_a220,pct_787,pct_a350,pct_a330neo,pct_neo,pct_max,pct_newgen_narrow,pct_newgen_wide,fleet_bucket
QATAR AIRWAYS,263,18.0,0.0684410646387832,0.4638783269961977,0.4638783269961977,0.4638783269961977,0.4638783269961977,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0076045627376425,0.0076045627376425,0.0,0.0,0.0038022813688212,0.0038022813688212,0.0152091254752851,Large
JAPAN AIRLINES,151,8.0,0.0529801324503311,0.4635761589403973,0.4635761589403973,0.4635761589403973,0.4635761589403973,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0132450331125827,0.0132450331125827,0.0,0.0,0.0,0.0,0.0264900662251655,Large
GOL LINHAS AEREAS,125,9.0,0.072,0.456,0.456,0.456,0.456,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008,0.0,Large
CARIBBEAN AIRLINES,20,3.0,0.15,0.45,0.45,0.45,0.45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,Large
SKY EXPRESS,29,6.0,0.2068965517241379,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0689655172413793,0.0,0.0689655172413793,0.0,Large
JUNEYAO AIR,103,6.0,0.058252427184466,0.4466019417475728,0.4466019417475728,0.4466019417475728,0.4466019417475728,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0097087378640776,0.0,0.0,0.0097087378640776,0.0,0.0097087378640776,0.0097087378640776,Large
CAYMAN AIRWAYS,9,3.0,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,Medium
FLYARYSTAN,27,2.0,0.074074074074074,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037,0.0,0.037037037037037,0.0,Large
AIR TRANSAT,43,4.0,0.0930232558139534,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Large
AIR TRAVEL,16,4.0,0.25,0.4375,0.4375,0.4375,0.4375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,Large
UZBEKISTAN AIRWAYS,48,12.0,0.25,0.4375,0.4375,0.4375,0.4375,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0208333333333333,0.0,0.0,0.0208333333333333,0.0,0.0208333333333333,0.0208333333333333,Large
MEA,23,5.0,0.217391304347826,0.4347826086956522,0.4347826086956522,0.4347826086956522,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Large
SPRING AIRLINES,134,3.0,0.0223880597014925,0.4328358208955224,0.4328358208955224,0.4328358208955224,0.4328358208955224,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0074626865671641,0.0,0.0074626865671641,0.0,Large
LOT,84,14.0,0.1666666666666666,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0238095238095238,0.0,0.0,0.0,0.0119047619047619,0.0119047619047619,0.0238095238095238,Large
WORLD2FLY,7,2.0,0.2857142857142857,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.1428571428571428,Medium
BOEING,334,26.0,0.0778443113772455,0.4251497005988024,0.4251497005988024,0.4251497005988024,0.4251497005988024,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0029940119760479,0.0,0.0,0.0,0.0179640718562874,0.0179640718562874,0.0029940119760479,Large
AJET,90,11.0,0.1222222222222222,0.4222222222222222,0.4222222222222222,0.4222222222222222,0.4222222222222222,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0111111111111111,0.0111111111111111,0.0222222222222222,0.0,Large
AVIANCA,151,4.0,0.0264900662251655,0.4172185430463576,0.4172185430463576,0.4172185430463576,0.4172185430463576,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0066225165562913,0.0,0.0,0.0066225165562913,0.0,0.0066225165562913,0.0066225165562913,Large
IBERIA EXPRESS,29,4.0,0.1379310344827586,0.4137931034482759,0.4137931034482759,0.4137931034482759,0.4137931034482759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Large
TIGERAIR TAIWAN,17,2.0,0.1176470588235294,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0588235294117647,0.0,Large
QANOT SHARQ,5,3.0,0.6,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
FIJI AIRWAYS,23,8.0,0.3478260869565217,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0434782608695652,0.0,0.0,0.0434782608695652,0.0434782608695652,0.0434782608695652,Large
AIR CANADA,319,18.0,0.0564263322884012,0.3887147335423197,0.3887147335423197,0.3887147335423197,0.3887147335423197,1.0,2.0,0.0,0.0,0.0,1.0,0.0031347962382445,0.006269592476489,0.0,0.0,0.0,0.0031347962382445,0.006269592476489,0.006269592476489,Large
VIVA,88,6.0,0.0681818181818181,0.3863636363636364,0.3863636363636364,0.3863636363636364,0.3863636363636364,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0113636363636363,0.0,0.0113636363636363,0.0,Large
CONDOR,70,9.0,0.1285714285714285,0.3857142857142857,0.3857142857142857,0.3857142857142857,0.3857142857142857,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0142857142857142,0.0,0.0142857142857142,0.0,Large
AIR BUSAN,21,4.0,0.1904761904761904,0.3809523809523809,0.3809523809523809,0.3809523809523809,0.3809523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Large
CHINA AIRLINES,85,10.0,0.1176470588235294,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0117647058823529,0.0,0.0,0.0,0.0,0.0117647058823529,Large
THAI AIRWAYS,85,10.0,0.1176470588235294,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.3764705882352941,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0235294117647058,0.0117647058823529,0.0,0.0,0.0,0.0,0.0352941176470588,Large
S7 AIRLINES,105,16.0,0.1523809523809524,0.3714285714285714,0.3714285714285714,0.3714285714285714,0.3714285714285714,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.019047619047619,0.0,0.019047619047619,0.0,Large
KOREAN AIR,161,26.0,0.1614906832298136,0.3664596273291926,0.3664596273291926,0.3664596273291926,0.3664596273291926,1.0,3.0,1.0,0.0,0.0,1.0,0.0062111801242236,0.0186335403726708,0.0062111801242236,0.0,0.0,0.0062111801242236,0.0124223602484472,0.0248447204968944,Large
AIR MACAU,22,4.0,0.1818181818181818,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0,0.0454545454545454,0.0,Large
