airline,fleet_size,diversity,modernity_index,version_v1,qa_notes
AIR NUNAVUT,15,0.4,0,v1,
AIR OCEAN MAROC,6,0.833333333,0,v1,
AIR PANAMA,5,0.4,0,v1,
AIR RAROTONGA,6,0.666666667,0,v1,
AIR SAFARIS,6,0.833333333,0,v1,
AIR SEOUL,6,0.333333333,0,v1,
AIR SPRAY,46,0.413043478,0,v1,
AIR SUNSHINE,8,0.375,0,v1,
AIR TAHITI,12,0.166666667,0,v1,
AIR TETIAROA,7,0.857142857,0,v1,
AIR TINDI,7,0.714285714,0,v1,
AIR TRANSPORT EUROPE,10,0.4,0,v1,
AIR TRANSPORT INTERNATIONAL,10,0.7,0,v1,
AIR-GLACIERS,24,0.291666667,0,v1,
AIRASIA X,25,0.04,0,v1,
AIRBUS TRANSPORT INTERNATIONAL,11,0.181818182,0,v1,
AIRCRAFT MANAGEMENT GROUP,15,0.466666667,0,v1,
AIREST,6,0.333333333,0,v1,
AIREXPLORE,8,0.875,0,v1,
AIRKENYA EXPRESS,5,0.8,0,v1,
AIRLEC AIR ESPACE,8,0.75,0,v1,
AIRLIFT,10,0.3,0,v1,
AIRLINK,87,0.287356322,0,v1,
AIRNET,20,0.15,0,v1,
AIRNORTH,13,0.307692308,0,v1,
AIRPAC AIRLINES,8,0.375,0,v1,
AIRSERBIA,29,0.206896552,0,v1,
AIRSF FLIGHT SERVICES,9,0.333333333,0,v1,
AIRSHARE,70,0.428571429,0,v1,
AIRSIAL,7,0.428571429,0,v1,
AIRSMART,8,0.5,0,v1,
AIRSPRINT,40,0.15,0,v1,
AIRSWIFT,5,0.4,0,v1,
AIRWORK,10,0.8,0,v1,
AIRX,19,0.315789474,0,v1,
AIS AIRLINES,7,0.142857143,0,v1,
AITHERAS AVIATION GROUP,9,0.666666667,0,v1,
ALANTE AIR CHARTER,5,0.8,0,v1,
ALASKA CENTRAL EXPRESS,19,0.052631579,0,v1,
ALBASTAR,5,1,0,v1,
ALIDAUNIA,9,0.555555556,0,v1,
ALISERIO,11,0.636363636,0,v1,
ALKAN AIR,21,0.619047619,0,v1,
ALLIANCE AIR,22,0.181818182,0,v1,
ALLIANCE AIRLINES,45,0.088888889,0,v1,
ALMASRIA UNIVERSAL AIRLINES,8,0.5,0,v1,
ALOHA AIR CARGO,9,0.888888889,0,v1,
ALPHA AVIATION,21,0.428571429,0,v1,
ALPINE AIR EXPRESS,76,0.092105263,0,v1,
ALROSA,5,0.6,0,v1,
