airline,fleet_size,n_models,diversity,modernity_index,new_gen_share,pct_a220,pct_787,pct_a350,pct_a330neo,pct_neo,pct_max,pct_newgen_narrow,pct_newgen_wide
AIRACT,2,1,0.5,0,0,0,0,0,0,0,0,0,0
AIRASIA,225,4,0.017777778,0.001777778,0.244444444,0,0,0,0,0.004444444,0,0.004444444,0
AIRASIA X,25,1,0.04,0,0,0,0,0,0,0,0,0,0
AIRBLUE,12,3,0.25,0,0.166666667,0,0,0,0,0,0,0,0
AIRBORNE IMAGING,4,1,0.25,0,0,0,0,0,0,0,0,0,0
AIRBUS,887,35,0.03945885,0.00518602,0.825253664,0.001127396,0,0.004509583,0.001127396,0.005636979,0,0.006764374,0.005636979
AIRBUS TRANSPORT INTERNATIONAL,11,2,0.181818182,0,0,0,0,0,0,0,0,0,0
AIRCALIN,6,3,0.5,0.066666667,0.666666667,0,0,0,0,0.166666667,0,0.166666667,0
AIRCHARTERS WORLDWIDE,2,2,1,0,0,0,0,0,0,0,0,0,0
AIRCRAFT MANAGEMENT GROUP,15,7,0.466666667,0,0,0,0,0,0,0,0,0,0
AIREST,6,2,0.333333333,0,0,0,0,0,0,0,0,0,0
AIREXPLORE,8,7,0.875,0,0,0,0,0,0,0,0,0,0
AIRFAST INDONESIA,10,6,0.6,0.04,0.2,0,0,0,0,0,0.1,0.1,0
AIRGO PRIVATE AIRLINE,3,2,0.666666667,0,0,0,0,0,0,0,0,0,0
AIRHUB AIRLINES,1,1,1,0,0,0,0,0,0,0,0,0,0
AIRJET,2,2,1,0,0,0,0,0,0,0,0,0,0
AIRKENYA EXPRESS,5,4,0.8,0,0,0,0,0,0,0,0,0,0
AIRLEC AIR ESPACE,8,6,0.75,0,0,0,0,0,0,0,0,0,0
AIRLIFT,10,3,0.3,0,0,0,0,0,0,0,0,0,0
AIRLINK,87,25,0.287356322,0,0,0,0,0,0,0,0,0,0
AIRMASTER,2,2,1,0,0,0,0,0,0,0,0,0,0
AIRNET,20,3,0.15,0,0,0,0,0,0,0,0,0,0
AIRNORTH,13,4,0.307692308,0,0,0,0,0,0,0,0,0,0
AIRONE,1,1,1,0,0,0,0,0,0,0,0,0,0
AIRPAC AIRLINES,8,3,0.375,0,0,0,0,0,0,0,0,0,0
AIRQUEST AVIATION,2,2,1,0,0,0,0,0,0,0,0,0,0
AIRSERBIA,29,6,0.206896552,0,0,0,0,0,0,0,0,0,0
AIRSF FLIGHT SERVICES,9,3,0.333333333,0,0,0,0,0,0,0,0,0,0
AIRSHARE,70,30,0.428571429,0,0,0,0,0,0,0,0,0,0
AIRSIAL,7,3,0.428571429,0,0,0,0,0,0,0,0,0,0
AIRSMART,8,4,0.5,0,0,0,0,0,0,0,0,0,0
AIRSPRINT,40,6,0.15,0,0,0,0,0,0,0,0,0,0
AIRSTAR CHARTER,3,3,1,0,0,0,0,0,0,0,0,0,0
AIRSTREAM,2,2,1,0,0,0,0,0,0,0,0,0,0
AIRSWIFT,5,2,0.4,0,0,0,0,0,0,0,0,0,0
AIRTANKER,2,1,0.5,0,0,0,0,0,0,0,0,0,0
AIRTASK,3,2,0.666666667,0,0,0,0,0,0,0,0,0,0
AIRTRAFFIC,4,1,0.25,0,0,0,0,0,0,0,0,0,0
AIRWORK,10,8,0.8,0,0,0,0,0,0,0,0,0,0
AIRX,19,6,0.315789474,0,0,0,0,0,0,0,0,0,0
AIS AIRLINES,7,1,0.142857143,0,0,0,0,0,0,0,0,0,0
AITHERAS AVIATION GROUP,9,6,0.666666667,0,0,0,0,0,0,0,0,0,0
AJET,90,11,0.122222222,0.008888889,0.422222222,0,0,0,0,0.011111111,0.011111111,0.022222222,0
AKASA AIR,30,2,0.066666667,0.026666667,1,0,0,0,0,0,0.066666667,0.066666667,0
ALADDIN JET,1,1,1,0,0,0,0,0,0,0,0,0,0
ALAMAN AIR,2,2,1,0,0,0,0,0,0,0,0,0,0
ALANTE AIR CHARTER,5,4,0.8,0,0,0,0,0,0,0,0,0,0
ALASKA AIRLINES,332,9,0.027108434,0.002409639,0.265060241,0,0,0,0,0,0.006024096,0.006024096,0
ALASKA CENTRAL EXPRESS,19,1,0.052631579,0,0,0,0,0,0,0,0,0,0
ALBASTAR,5,5,1,0,0,0,0,0,0,0,0,0,0
ALBATROS AIRLINES,1,1,1,0,0,0,0,0,0,0,0,0,0
ALBINATI AERONAUTICS,2,2,1,0,0,0,0,0,0,0,0,0,0
ALBINATI AVIATION,1,1,1,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA AIRLINES,1,1,1,0,0,0,0,0,0,0,0,0,0
ALFA AIRLINES,2,2,1,0,0,0,0,0,0,0,0,0,0
ALHAYA AVIATION,1,1,1,0,0,0,0,0,0,0,0,0,0
ALIDAUNIA,9,5,0.555555556,0,0,0,0,0,0,0,0,0,0
