airline,fleet_size,n_models,diversity,modernity_index,new_gen_share,cluster
ANGUILLA AIR SERVICES,6,6.0,1.0,0.0,0.0,0
ANIMAWINGS,4,3.0,0.75,0.15,0.5,1
ANTONOV AIRLINES,7,6.0,0.8571428571428571,0.0,0.0,0
APG AIRLINES,1,1.0,1.0,0.0,0.0,0
ARAB WINGS,5,5.0,1.0,0.0,0.0,0
ARAJET,10,1.0,0.1,0.04,1.0,1
ARC EN CIEL,4,3.0,0.75,0.0,0.0,0
ARCUS AIR,9,4.0,0.4444444444444444,0.0,0.0,0
ARGENTINA - AIR FORCE,61,21.0,0.3442622950819672,0.0,0.0,0
ARIANA AFGHAN AIRLINES,6,4.0,0.6666666666666666,0.0,0.0,0
ARIK AIR,9,4.0,0.4444444444444444,0.0,0.0,0
ARIRANG AVIATION,2,2.0,1.0,0.0,0.0,0
ARKHANGELSK AIRLINES,3,1.0,0.3333333333333333,0.0,0.0,0
ARM AVIACION,7,5.0,0.7142857142857143,0.0,0.0,0
ARMENIA AIRWAYS,3,3.0,1.0,0.0,0.0,0
ARUBA AIRLINES,1,1.0,1.0,0.0,0.0,0
ASCEND AIRWAYS,4,2.0,0.5,0.1,0.75,1
ASG BUSINESS AVIATION,7,5.0,0.7142857142857143,0.0,0.0,0
ASIA CARGO AIRLINES,2,2.0,1.0,0.0,0.0,0
ASIA PACIFIC AIRLINES,5,4.0,0.8,0.0,0.0,0
ASIA UNION AIRLINES,2,2.0,1.0,0.0,0.0,0
ASIAN EXPRESS AIRLINES,1,1.0,1.0,0.0,0.0,0
ASIAN EXPRESS GENERAL AVIATION WUXI,4,2.0,0.5,0.0,0.0,0
ASIANA AIRLINES,82,14.0,0.1707317073170731,0.004878049,0.3414634146341464,1
ASKY AIRLINES,17,11.0,0.6470588235294118,0.023529412,0.1176470588235294,0
ASL AIRLINES,78,38.0,0.4871794871794871,0.0,0.0,0
ASMAN AIRLINES,1,1.0,1.0,0.0,0.0,0
ASPEN HELICOPTERS,15,11.0,0.7333333333333333,0.0,0.0,0
ASTA LINHAS AEREAS,3,1.0,0.3333333333333333,0.0,0.0,0
ASTONFLY,17,2.0,0.1176470588235294,0.0,0.0,0
ASTONJET,8,2.0,0.25,0.0,0.0,0
ASTRAL AVIATION,6,6.0,1.0,0.0,0.0,0
